country,id,value,extraInfo,text_content,link_text,link_url_target,audio_url_1,audio_url_2,audio_url_3,image_url_source,image_url_target,video_url
Albania,AL,0.301,Falsch,"16,3",,,,,,,,
Austria,AT,0.248,Falsch,"14,4",,,,,,,,
Belgium,BE,0.28,Falsch,"16,6",,,,,,,,
Bulgaria,BG,0.236,Falsch,"14,5",,,,,,,,
Bosnia and Herzegovina,BA,null,Falsch,null,,,,,,,,
Switzerland,CH,0.253,Falsch,"15,1",,,,,,,,
Cyprus,CY,0.28,Falsch,"16,1",,,,,,,,
Czechia,CZ,0.254,Falsch,"16,1",,,,,,,,
Germany,DE,0.239,Falsch,"13,9",,,,,,,,
Denmark,DK,0.283,Falsch,"16,1",,,,,,,,
Estonia,EE,0.261,Falsch,"16,4",,,,,,,,
Georgia,GE,0.32,Falsch,"20,8",,,,,,,,
Greece,EL,0.237,Falsch,"13,7",,,,,,,,
Spain,ES,0.244,Falsch,"14,0",,,,,,,,
Finland,FI,0.264,Falsch,"15,4",,,,,,,,
France,FR,0.295,Falsch,"17,5",,,,,,,,
Croatia,HR,0.245,Falsch,"14,3",,,,,,,,
Hungary,HU,0.25,Falsch,"14,6",,,,,,,,
Ireland,IE,0.325,Falsch,"19,7",,,,,,,,
Iceland,IS,0.315,Falsch,"18,6",,,,,,,,
Italy,IT,0.225,Falsch,"12,7",,,,,,,,
Liechtenstein,LI,0.25,Falsch,"14,6",,,,,,,,
Lithuania,LT,0.245,Falsch,"14,9",,,,,,,,
Luxembourg,LU,0.271,Falsch,"15,9",,,,,,,,
Latvia,LV,0.254,Falsch,"16,0",,,,,,,,
Montenegro,ME,0.303,Falsch,"17,9",,,,,,,,
North Macedonia,MK,0.285,Falsch,"17,0",,,,,,,,
Malta,MT,0.23,Falsch,"13,4",,,,,,,,
Moldova,MD,null,Falsch,null,,,,,,,,
Netherlands,NL,0.277,Falsch,"15,4",,,,,,,,
Norway,NO,0.289,Falsch,"16,9",,,,,,,,
Poland,PL,0.252,Falsch,"15,4",,,,,,,,
Portugal,PT,0.233,Falsch,"12,8",,,,,,,,
Romania,RO,0.267,Falsch,"16,2",,,,,,,,
Serbia,RS,0.247,Falsch,"14,3",,,,,,,,
Sweden,SE,0.288,Falsch,"17,6",,,,,,,,
Slovenia,SI,0.245,Falsch,"15,1",,,,,,,,
Slovakia,SK,0.26,Falsch,"16,1",,,,,,,,
Turkey,TR,null,Falsch,null,,,,,,,,
United Kingdom,UK,null,Falsch,null,,,,,,,,
Ukraine,UA,0.244,Falsch,"14,9",,,,,,,,
